name,sA,rA,sC,rC,sG,rG,sH,rH
Daniel Koellerer,60.168,41.102,57.066,38.504,63.666,30.145,60.316,35.992
Ricardo Mello,62.265,39.048,57.917,37.107,57.278,33.291,60.864,36.082
Richey Reneberg,62.272,39.145,59.642,40.337,63.183,37.173,61.942,38.508
Jonas Bjorkman,61.396,39.978,58.364,39.267,63.87,39.655,61.186,39.999
Wally Masur,64.182,37.041,62.219,37.979,66.173,37.235,63.933,36.739
Eric Prodon,61.837,39.039,55.623,29.472,0,0,55.124,34.962
Rainer Schuettler,61.791,39.372,58.474,39.972,64.67,36.776,61.56,39.605
Go Soeda,61.978,39.225,49.864,35.806,60.456,36.686,57.854,34.453
Karol Beck,62.723,38.496,54.215,38.244,62.789,33.857,59.889,37.253
Horacio Zeballos,64.788,36.086,63.642,33.698,64.981,28.838,61.905,30.961
Adrian Ungur,61.105,40.005,59.145,33.256,56.25,26.971,51.047,31.667
Tatsuma Ito,62.933,38.548,54.34,35.714,62.759,33.794,59.605,35.442
Guido Pella,61.63,39.565,62.269,34.918,48.148,27.451,56.83,31.339
John Isner,70.392,30.396,69.251,30.057,73.812,28.827,70.561,30.47
Dominik Hrbaty,61.778,39.452,59.965,40.238,60.735,35.922,62.963,39.047
